fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_return,train_pf,train_trades,valid_return,valid_pf,valid_trades,valid_win_rate,valid_payoff,valid_dd,rank_pf,ok
20,96,64,2.8,6.0,64,14,0.0004009281539458243,1.0174139568198937,85,-0.001003325843741121,0.32175819296450603,6,0.3333333333333333,0.6435163859290121,0.000993149511569391,0.32175819296450603,False
20,96,64,2.8,5.0,64,14,-0.0009154091676747382,0.9610165544868533,86,-0.001003325843741121,0.32175819296450603,6,0.3333333333333333,0.6435163859290121,0.000993149511569391,0.32175819296450603,False
16,96,64,2.8,4.0,64,14,0.001555559872098711,1.066153721941088,90,-0.0010150647990906235,0.3192249963511672,6,0.3333333333333333,0.6384499927023344,0.0014908045529027935,0.3192249963511672,False
20,96,64,3.2,5.0,64,14,-0.0014053225118069404,0.9368784041660861,85,-0.0010483073490251183,0.28859347104292193,6,0.3333333333333333,0.5771869420858439,0.0009885093239047238,0.28859347104292193,False
20,96,64,3.2,6.0,64,14,-0.0021054940814446504,0.9053991721864836,85,-0.0010483073490251183,0.28859347104292193,6,0.3333333333333333,0.5771869420858439,0.0009885093239047238,0.28859347104292193,False
20,96,64,2.4,4.0,48,14,-0.0062945232667056695,0.8017849907835358,102,-0.0008856688845884359,0.2862554676041344,5,0.2,1.1450218704165376,0.001216641101945201,0.2862554676041344,False
16,96,64,2.4,4.0,48,14,-0.009182219191099409,0.7392453291585918,111,-0.0008856688845884359,0.2862554676041344,5,0.2,1.1450218704165376,0.001216641101945201,0.2862554676041344,False
16,96,64,2.4,5.0,64,14,0.0015585913194321092,1.0578696595154407,91,-0.0014001696337912013,0.2785117601568557,6,0.3333333333333333,0.5570235203137114,0.0012697233848537376,0.2785117601568557,False
20,96,64,2.4,5.0,64,14,0.0010700508597241368,1.0427571772576636,85,-0.0014001696337912013,0.2785117601568557,6,0.3333333333333333,0.5570235203137114,0.0012697233848537376,0.2785117601568557,False
20,96,64,2.4,6.0,64,14,-0.00018584566019531047,0.9927195177667513,85,-0.0014001696337912013,0.2785117601568557,6,0.3333333333333333,0.5570235203137114,0.0012697233848537376,0.2785117601568557,False
16,96,64,2.4,6.0,64,14,-0.0011573144823054952,0.9593858892047031,92,-0.0014001696337912013,0.2785117601568557,6,0.3333333333333333,0.5570235203137114,0.0012697233848537376,0.2785117601568557,False
20,96,64,2.8,4.0,48,14,-0.007928294410022204,0.7243880542538859,103,-0.0008256641250755219,0.27605330275236756,5,0.2,1.1042132110094702,0.001119405525145707,0.27605330275236756,False
20,96,64,3.2,4.0,48,14,-0.004824643239226351,0.800541130185241,98,-0.0007819639610632309,0.26553697387744507,5,0.2,1.0621478955097803,0.001045993863997532,0.26553697387744507,False
16,96,64,3.2,5.0,64,14,-0.0010624053794388438,0.9547184882063976,90,-0.0011827002184731702,0.2644729491128959,7,0.2857142857142857,0.6611823727822398,0.001122948413558707,0.2644729491128959,False
16,96,64,3.2,6.0,64,14,-0.0017622721864310772,0.9248661864685449,90,-0.0011827002184731702,0.2644729491128959,7,0.2857142857142857,0.6611823727822398,0.001122948413558707,0.2644729491128959,False
12,80,48,3.2,5.0,64,14,0.009130098561434352,1.3186325846201046,107,-0.0021175501850262558,0.2602135695219374,10,0.3,0.6071649955511873,0.0018931188174572907,0.2602135695219374,False
12,80,48,3.2,6.0,64,14,0.008438912520285476,1.2945830627160346,107,-0.0021175501850262558,0.2602135695219374,10,0.3,0.6071649955511873,0.0018931188174572907,0.2602135695219374,False
12,80,48,2.8,6.0,64,14,0.009209614839854203,1.2914008600865574,110,-0.00257215731314601,0.2446845290351497,10,0.3,0.5709305677486826,0.002398196603579939,0.2446845290351497,False
12,80,48,2.8,5.0,64,14,0.007932976251787198,1.2475077152706668,111,-0.00257215731314601,0.2446845290351497,10,0.3,0.5709305677486826,0.002398196603579939,0.2446845290351497,False
16,96,64,2.8,6.0,64,14,7.564223662363008e-05,1.0030178237439749,91,-0.0014962073205958702,0.2413455481289324,7,0.2857142857142857,0.6033638703223311,0.0014861919856213282,0.2413455481289324,False
16,96,64,2.8,5.0,64,14,-0.0011022061212997297,0.9568211183879861,92,-0.0014962073205958702,0.2413455481289324,7,0.2857142857142857,0.6033638703223311,0.0014861919856213282,0.2413455481289324,False
12,80,48,2.4,4.0,96,14,0.009354492475613343,1.2631937295879718,109,-0.0018538845262549165,0.23930219663335558,7,0.2857142857142857,0.598255491583389,0.0016970789426831564,0.23930219663335558,False
16,96,64,3.2,4.0,48,14,-0.0060303653417138154,0.7680586721086793,105,-0.0009172525118818857,0.2355992885516927,6,0.16666666666666666,1.1779964427584637,0.0011812849447685964,0.2355992885516927,False
12,80,48,3.2,4.0,96,14,0.007296244599341114,1.2665217021425892,100,-0.0015900154635385601,0.23371366400569746,8,0.375,0.38952277334282914,0.0013683965623129892,0.23371366400569746,False
8,48,24,2.4,3.5,48,14,0.0034164203979607857,1.0858109126488422,140,-0.0049628392327323535,0.23277943717262428,20,0.2,0.9311177486904971,0.005088980774957847,0.23277943717262428,False
12,80,48,2.8,4.0,96,14,0.010353195520844861,1.3439558248789685,105,-0.0018987221713062416,0.22247267733117038,8,0.375,0.3707877955519506,0.0017059622319243045,0.22247267733117038,False
12,80,48,3.2,5.0,96,14,0.008736605916945557,1.3241224091388797,98,-0.002029847312902968,0.20672680815638073,9,0.3333333333333333,0.4134536163127614,0.0018084498489717297,0.20672680815638073,False
12,80,48,3.2,6.0,96,14,0.007379447879418888,1.2739482513867901,98,-0.002029847312902968,0.20672680815638073,9,0.3333333333333333,0.4134536163127614,0.0018084498489717297,0.20672680815638073,False
20,96,64,2.4,5.0,48,14,-0.008517368154938986,0.7342165568887997,103,-0.0013709597334249772,0.20577824657507648,6,0.16666666666666666,1.0288912328753825,0.001238946102481771,0.20577824657507648,False
